"","x"
"Moho_braccatus",0
"Garrulax_perspicillatus",0
"Garrulax_poecilorhynchus",0
"Garrulax_sannio",0
"Garrulax_cineraceus",0
"Garrulax_canorus",0
"Leiothrix_argentauris",0
"Napothera_epilepidota",0
"Paradoxornis_webbianus",0
"Cecropis_daurica",1
"Hirundo_rustica",1
"Tachycineta_thalassina",1
"Tachycineta_cyaneoviridis",1
"Tachycineta_euchrysea",1
"Tachycineta_bicolor",1
"Tachycineta_leucorrhoa",1
"Tachycineta_meyeni",1
"Tachycineta_albiventer",1
"Tachycineta_albilinea",1
"Tachycineta_stolzmanni",1
"Progne_chalybea",1
"Pycnonotus_taivanus",0
"Pycnonotus_xanthorrhous",0
"Pycnonotus_melanicterus",0
"Spizixos_semitorques",0
"Aegithalos_fuliginosus",0
"Hyliota_flavigaster",0
"Eopsaltria_griseogularis",0
"Eopsaltria_georgiana",0
"Eopsaltria_australis",0
"Tregellasia_leucops",0
"Tregellasia_capito",0
"Petroica_australis",0
"Petroica_macrocephala",0
"Heteralocha_acutirostris",0
"Philesturnus_carunculatus",0
"Callaeas_cinereus",0
"Corvus_moriorum",0
"Corvus_splendens",0
"Corvus_hawaiiensis",0
"Urocissa_erythrorhyncha",0
"Urocissa_caerulea",0
"Prosthemadera_novaeseelandiae",0
"Epthianura_albifrons",0
"Gerygone_igata",0
"Malurus_melanocephalus",0
"Menura_novaehollandiae",0
"Smithornis_sharpei",0
"Mionectes_oleagineus",0
"Cnemotriccus_fuscatus",0
"Ninox_scutulata",0
"Ninox_strenua",0
"Ninox_novaeseelandiae",0
"Otus_bakkamoena",0
"Phodilus_badius",0
"Rhyticeros_undulatus",0
"Anthracoceros_coronatus",0
"Buceros_rhinoceros",0
"Buceros_bicornis",0
"Campephilus_guatemalensis",0
"Jynx_ruficollis",0
"Indicator_maculatus",0
"Prodotiscus_insignis",0
"Megalaima_virens",0
"Pteroglossus_azara",0
"Ceryle_rudis",0
"Trogon_viridis",0
"Buteo_lagopus",1
"Buteo_buteo",1
"Buteo_hemilasius",1
"Milvus_migrans",1
"Accipiter_virgatus",1
"Accipiter_nisus",1
"Accipiter_gentilis",1
"Nisaetus_nipalensis",0
"Morus_serrator",1
"Egretta_sacra",0
"Eudocimus_ruber",0
"Phaethon_lepturus",1
"Phaethon_rubricauda",1
"Rhynochetos_jubatus",0
"Sternula_albifrons",1
"Gelochelidon_nilotica",1
"Sterna_hirundo",1
"Saundersilarus_saundersi",1
"Chroicocephalus_ridibundus",1
"Larus_brunnicephalus",1
"Larus_crassirostris",1
"Larus_dominicanus",1
"Ichthyaetus_relictus",1
"Stercorarius_maccormicki",1
"Jacana_jacana",0
"Jacana_spinosa",0
"Rallina_eurizonoides",0
"Amaurornis_phoenicurus",0
"Eulabeornis_castaneoventris",0
"Heliornis_fulica",0
"Grus_rubicunda",0
"Anthropoides_paradiseus",0
"Balearica_pavonina",0
"Balearica_regulorum",0
"Geococcyx_californianus",0
"Aegotheles_cristatus",0
"Cypseloides_fumigatus",1
"Chaetura_pelagica",1
"Apus_apus",1
"Florisuga_mellivora",1
"Florisuga_fusca",1
"Glaucis_hirsutus",1
"Phaethornis_malaris",1
"Chrysolampis_mosquitus",1
"Oreotrochilus_melanogaster",1
"Lophornis_magnificus",1
"Heliodoxa_aurescens",1
"Calliphlox_amethystina",1
"Archilochus_colubris",1
"Hylocharis_cyanus",1
"Amazilia_rondoniae",1
"Amazilia_versicolor",1
"Amazilia_brevirostris",1
"NODE_233",0
"NODE_234",0
"NODE_235",0
"NODE_236",0
"NODE_237",0
"NODE_238",0
"NODE_239",0
"NODE_240",0
"NODE_241",0
"NODE_242",0
"NODE_243",0
"NODE_244",0
"NODE_245",0
"NODE_246",0
"NODE_247",0
"NODE_248",0
"NODE_249",0
"NODE_250",0
"NODE_251",0
"NODE_252",0
"NODE_253",0
"NODE_254",0
"NODE_255",0
"NODE_256",0
"NODE_257",0
"NODE_258",0
"NODE_259",0
"NODE_260",0
"NODE_261",0
"NODE_262",0
"NODE_263",0
"NODE_264",0
"NODE_265",0
"NODE_266",0
"NODE_267",0
"NODE_268",0
"NODE_269",0
"NODE_270",0
"NODE_271",0
"NODE_272",1
"NODE_273",1
"NODE_274",1
"NODE_275",1
"NODE_276",1
"NODE_277",1
"NODE_278",1
"NODE_279",1
"NODE_280",1
"NODE_281",0
"NODE_282",0
"NODE_283",0
"NODE_284",0
"NODE_285",0
"NODE_286",0
"NODE_287",0
"NODE_288",0
"NODE_289",0
"NODE_290",0
"NODE_291",0
"NODE_292",0
"NODE_293",0
"NODE_294",0
"NODE_295",0
"NODE_296",0
"NODE_297",0
"NODE_298",0
"NODE_299",0
"NODE_300",0
"NODE_301",0
"NODE_302",0
"NODE_303",0
"NODE_304",0
"NODE_305",0
"NODE_306",0
"NODE_307",0
"NODE_308",0
"NODE_309",0
"NODE_310",0
"NODE_311",0
"NODE_312",0
"NODE_313",0
"NODE_314",0
"NODE_315",0
"NODE_316",0
"NODE_317",0
"NODE_318",0
"NODE_319",0
"NODE_320",0
"NODE_321",0
"NODE_322",0
"NODE_323",0
"NODE_324",0
"NODE_325",0
"NODE_326",0
"NODE_327",0
"NODE_328",0
"NODE_329",0
"NODE_330",0
"NODE_331",0
"NODE_332",0
"NODE_333",0
"NODE_334",0
"NODE_335",0
"NODE_336",0
"NODE_337",0
"NODE_338",0
"NODE_339",0
"NODE_340",0
"NODE_341",0
"NODE_342",0
"NODE_343",0
"NODE_344",0
"NODE_345",0
"NODE_346",0
"NODE_347",0
"NODE_348",0
"NODE_349",0
"NODE_350",0
"NODE_351",0
"NODE_352",0
"NODE_353",0
"NODE_354",0
"NODE_355",0
"NODE_356",0
"NODE_357",0
"NODE_358",0
"NODE_359",0
"NODE_360",0
"NODE_361",0
"NODE_362",0
"NODE_363",0
"NODE_364",0
"NODE_365",0
"NODE_366",0
"NODE_367",1
"NODE_368",1
"NODE_369",1
"NODE_370",1
"NODE_371",1
"NODE_372",1
"NODE_373",1
"NODE_374",1
"NODE_375",1
"NODE_376",1
"NODE_377",1
"NODE_378",0
"NODE_379",0
"NODE_380",0
"NODE_381",0
"NODE_382",0
"NODE_383",0
"NODE_384",0
"NODE_385",0
"NODE_386",0
"NODE_387",0
"NODE_388",0
"NODE_389",0
"NODE_390",0
"NODE_391",0
"NODE_392",0
"NODE_393",0
"NODE_394",0
"NODE_395",0
"NODE_396",0
"NODE_397",0
"NODE_398",0
"NODE_399",0
"NODE_400",0
"NODE_401",0
"NODE_402",0
"NODE_403",0
"NODE_404",0
"NODE_405",0
"NODE_406",0
"NODE_407",0
"NODE_408",0
"NODE_409",0
"NODE_410",0
"NODE_411",0
"NODE_412",0
"NODE_413",0
"NODE_414",0
"NODE_415",0
"NODE_416",1
"NODE_417",1
"NODE_418",1
"NODE_419",1
"NODE_420",1
"NODE_421",1
"NODE_422",0
"NODE_423",0
"NODE_424",0
"NODE_425",0
"NODE_426",1
"NODE_427",0
"NODE_428",0
"NODE_429",1
"NODE_430",1
"NODE_431",1
"NODE_432",1
"NODE_433",1
"NODE_434",1
"NODE_435",1
"NODE_436",1
"NODE_437",1
"NODE_438",0
"NODE_439",0
"NODE_440",0
"NODE_441",0
"NODE_442",0
"NODE_443",0
"NODE_444",0
"NODE_445",0
"NODE_446",0
"NODE_447",0
"NODE_448",1
"NODE_449",1
"NODE_450",1
"NODE_451",1
"NODE_452",1
"NODE_453",1
"NODE_454",1
"NODE_455",1
"NODE_456",1
"NODE_457",1
"NODE_458",1
"NODE_459",1
"NODE_460",1
"NODE_461",1
"NODE_462",1
"NODE_463",1
